Tfit0,Tfit1,Tfit2,Tfit3,Tfit4,Tfit5,Tfit6,Tfit7,Tfit8,Fuente(experimento)
0.0,7.942073561450725,12.663847238241702,16.251014567046862,18.325430390020934,19.82639155880217,22.903840403263704,27.46721346490666,30.414968601819815,0_Adsorcion de As+5 Espana ( 60ppmSb-As)
0.0,17.88,24.305555555555554,29.025833333333335,31.932222222222222,34.01833333333333,37.86055555555555,43.555,47.02611111111111,1_Adsorcion de As+5 Espana ( 60ppmAs-As)
0.0,15.920459378204574,22.615613188528798,27.7206541610438,30.891858703276515,33.07755044930767,37.071703282035614,42.965080849606665,46.88743282477461,2_Adsorcion de As+5 Espana ( 90ppmAs-As)
0.0,1.254793349742044,2.0807745694344537,2.6524697066820644,2.994997463663514,3.180125560889202,3.7495371797569357,4.490702002482511,4.849703713490211,3_Adsorcion de Pb Espana (? -FeOOH 0.05 M-Pb)
0.0,6.513243595310464,9.872183368594156,12.47309245110448,14.199563936031634,15.469415471032233,17.927587513049584,20.82551898079286,22.979970621113996,4_Adsorcion de Sb Espana (? -FeOOH 0.05 M-Sb)
0.0,26.80166666666667,38.75111111111111,46.420833333333334,50.20166666666667,52.21249999999999,54.49333333333334,55.169999999999995,55.25222222222222,5_Adsorcion de Sb Espana ( 60ppmSb-Sb)
0.0,33.13681027966742,40.6732174351222,44.19853867472915,46.32804232804233,47.84278155706727,50.265558075081884,52.342655580750815,52.616780045351476,6_Adsorcion de Sb Espana ( 60ppmAs-Sb)
0.0,24.49416666666667,33.73305555555556,40.56777777777778,44.682500000000005,47.56194444444444,52.89027777777778,60.406111111111116,64.96777777777778,7_Adsorcion de Sb Espana ( 60ppmHg-Sb)
0.0,19.555218351310902,28.01095114932199,33.88101693568375,37.471548391857404,40.1994970947668,45.06432002785088,51.97046898088846,56.18367204070165,8_Adsorcion de Sb Espana ( 120ppmAs-Sb)
0.0,11.017222222222223,16.50027777777778,20.43027777777778,22.95861111111111,24.915277777777778,28.297222222222224,33.253055555555555,36.71805555555556,9_Adsorcion de Sb Espana ( 120ppmSb-Sb)
0.0,17.571706762951845,24.25605501237373,28.953760801655235,32.13999553734431,34.15605095541402,38.055296360907136,43.57428293237049,47.16241023976632,10_Adsorcion de Sb Espana ( 120ppmPb-Sb)
0.0,18.831133201773223,26.84923627653355,32.33105468195691,35.71667779819083,38.1489000603562,42.888658900457685,49.616198921913465,53.85513377695453,11_Adsorcion de Sb Espana ( 120ppmHg-Sb)
