Fuente,Experimento,Texp1,Texp2,Texp3,Texp4,Texp5,Texp6 ,Texp7 ,Texp8,
Adsorcion de As+5 Espana, 60ppmSb-As,7.356581638,12.68969971,16.63975891,18.50177591,20.48756861,23.81874933,27.99483371,30.05058659,
Adsorcion de As+5 Espana, 60ppmAs-As,20.7799351,25.25163632,27.74874869,29.96534844,32.3689566,36.38963753,43.14944172,48.68269072,
Adsorcion de As+5 Espana, 90ppmAs-As,17.06749418,22.58118143,27.20824559,29.44142746,31.86301674,35.91377591,42.7241494,48.18796409,
 Adsorcion As +3 Espana,? -FeOOH 0.05 M-As,3.435140742,5.324574043,6.419099862,7.361824742,7.905974846,NaN,NaN,9.96948977,
 Adsorcion As +3 Espana, 60ppmSb-As,5.160842398,8.794260588,10.64568387,NaN,14.07081694,NaN,17.65794955,18.40291923,
 Adsorcion As +3 Espana, 60ppmAs-As,6.966551326,9.896193772,10.98039216,NaN,NaN,13.47174164,NaN,14.94809689,
 Adsorcion As +3 Espana, 60ppmHg-As,6.687628367,8.580371981,NaN,10.14729951,NaN,11.87748422,NaN,13.74446154,
Adsorcion de Pb Espana,? -FeOOH 0.05 M-Pb,1.145313102,1.696100197,2.264219096,3.106471919,3.699599853,4.016499304,4.056284427,4.106165124,
Adsorcion de Sb Espana,? -FeOOH 0.05 M-Sb,6.008902077,10.18793274,12.13402572,13.93026706,15.14193867,16.9223541,20.3264095,23.37636004,
Adsorcion de Sb Espana, 60ppmSb-Sb,27.24176556,41.58583883,46.08447901,48.3110787,49.99238866,52.56751936,55.55139015,57.86887145,
Adsorcion de Sb Espana, 60ppmAs-Sb,34.5873233,41.90606475,44.3000456,46.05563155,46.96762426,48.72321021,51.98358413,54.33196534,
Adsorcion de Sb Espana, 60ppmHg-Sb,29.15406767,36.91024718,42.09263259,43.72450204,44.94840413,50.22798176,62.49100072,64.05087593,
Adsorcion de Sb Espana, 120ppmAs-Sb,21.81709538,29.43205099,34.57773731,37.28659231,39.56294104,43.52378784,51.33166401,56.11199636,
Adsorcion de Sb Espana, 120ppmSb-Sb,12.18476554,16.71079201,20.12564505,22.10006731,23.40139107,26.92393987,33.78954454,37.71595243,
Adsorcion de Sb Espana, 120ppmPb-Sb,18.82142017,24.66023983,29.10886433,30.96637668,32.98847872,36.75052904,43.80437338,48.76557724,
Adsorcion de Sb Espana, 120ppmHg-Sb,20.98248332,26.78384175,32.00667302,34.74737846,37.17826501,41.96854147,50,55.21925643,
